model_id,authors,commit_count
1-800-BAD-CODE/punctuation_fullstop_truecase_english,1-800-BAD-CODE,34
AdamCodd/vit-base-nsfw-detector,Adam,1
AdamCodd/vit-base-nsfw-detector,AdamCodd,23
Alibaba-NLP/gte-large-en-v1.5,Xenova,2
Alibaba-NLP/gte-large-en-v1.5,izhx,11
Alibaba-NLP/gte-large-en-v1.5,thenlper,3
Alibaba-NLP/gte-large-en-v1.5,tomaarsen,1
Ashishkr/query_wellformedness_score,Ashishkr,29
Ashishkr/query_wellformedness_score,SFconvertbot,2
Ashishkr/query_wellformedness_score,ashish kumar,1
Ashishkr/query_wellformedness_score,patrickvonplaten,2
Ashishkr/query_wellformedness_score,system,1
AutonLab/MOMENT-1-large,KonradSzafer,9
AutonLab/MOMENT-1-large,MononitoGoswami,8
AutonLab/MOMENT-1-large,SFconvertbot,1
BAAI/bge-small-en-v1.5,AshokRaja,1
BAAI/bge-small-en-v1.5,Shitao,7
BAAI/bge-small-en-v1.5,Tim,1
BAAI/bge-small-en-v1.5,ldwang,7
BAAI/bge-small-en-v1.5,michaelfeil,1
Babelscape/wikineural-multilingual-ner,SFconvertbot,1
Babelscape/wikineural-multilingual-ner,Simone Tedeschi,16
Babelscape/wikineural-multilingual-ner,lbourdois,1
Babelscape/wikineural-multilingual-ner,sted97,11
Babelscape/wikineural-multilingual-ner,system,1
BridgeTower/bridgetower-large-itm-mlm-itc,anahita-b,6
BridgeTower/bridgetower-large-itm-mlm-itc,shaoyent,6
ByteDance/Hyper-SD,Yanzuo,17
ByteDance/Hyper-SD,renyuxi,43
CIDAS/clipseg-rd64-refined,nielsr,8
Cloudy1225/stackoverflow-roberta-base-sentiment,Cloudy1225,5
Cloudy1225/stackoverflow-roberta-base-sentiment,SFconvertbot,1
Cloudy1225/stackoverflow-roberta-base-sentiment,Yunhui Liu,1
CompVis/stable-diffusion-safety-checker,Ezi,1
CompVis/stable-diffusion-safety-checker,valhalla,3
Danswer/intent-model,Danswer,4
Danswer/intent-model,yuhongsun,3
DeepChem/ChemBERTa-77M-MTR,Walid Ahmad,2
DeepChem/ChemBERTa-77M-MTR,system,1
DeepFloyd/t5-v1_1-xxl,Alex Shonenkov,1
DeepFloyd/t5-v1_1-xxl,shonenkov,2
DeepPavlov/rubert-base-cased,Yura Kuratov,1
DeepPavlov/rubert-base-cased,julien-c,1
DeepPavlov/rubert-base-cased,patrickvonplaten,2
DeepPavlov/rubert-base-cased,system,8
DeepPavlov/rubert-base-cased,yurakuratov,1
Dmyadav2001/Sentimental-Analysis,Dmyadav2001,3
Efficient-Large-Model/Llama-3-VILA1.5-8B-Fix,Seerkfang,2
EleutherAI/gpt-neo-2.7B,LysandreJik,3
EleutherAI/gpt-neo-2.7B,SFconvertbot,1
EleutherAI/gpt-neo-2.7B,guillaume-be,2
EleutherAI/gpt-neo-2.7B,lg,1
EleutherAI/gpt-neo-2.7B,lysandre,1
EleutherAI/gpt-neo-2.7B,stellaathena,12
EleutherAI/gpt-neo-2.7B,system,1
EleutherAI/gpt-neo-2.7B,valhalla,3
EmergentMethods/gliner_medium_news-v2.1,rcaulk,11
EmergentMethods/gliner_medium_news-v2.1,robcaulk,1
EmergentMethods/gliner_medium_news-v2.1,thorntwig,7
EmergentMethods/gliner_medium_news-v2.1,tomaarsen,1
Ericwang/tiny-random-ast,Ericwang,4
FacebookAI/xlm-roberta-large,MhondGhod,1
FacebookAI/xlm-roberta-large,Narsil,1
FacebookAI/xlm-roberta-large,fxmarty,1
FacebookAI/xlm-roberta-large,joaogante,1
FacebookAI/xlm-roberta-large,julien-c,1
FacebookAI/xlm-roberta-large,lbourdois,1
FacebookAI/xlm-roberta-large,lysandre,1
FacebookAI/xlm-roberta-large,mushfiqurrobin,1
FacebookAI/xlm-roberta-large,nielsr,1
FacebookAI/xlm-roberta-large,osanseviero,1
FacebookAI/xlm-roberta-large,sgugger,1
FacebookAI/xlm-roberta-large,system,7
FacebookAI/xlm-roberta-large,valhalla,3
Falconsai/nsfw_image_detection,RealFalconsAI,14
Falconsai/nsfw_image_detection,SFconvertbot,1
Falconsai/nsfw_image_detection,mstatt,1
Gustavosta/MagicPrompt-Stable-Diffusion,Gustavosta,8
Gustavosta/MagicPrompt-Stable-Diffusion,SFconvertbot,1
Gustavosta/MagicPrompt-Stable-Diffusion,alandaoEV,1
Hate-speech-CNERG/tamil-codemixed-abusive-MuRIL,leowin,6
Hate-speech-CNERG/tamil-codemixed-abusive-MuRIL,mithundas,2
Helsinki-NLP/opus-mt-fr-en,joaogante,3
Helsinki-NLP/opus-mt-fr-en,julien-c,1
Helsinki-NLP/opus-mt-fr-en,patrickvonplaten,3
Helsinki-NLP/opus-mt-fr-en,system,25
HooshvareLab/bert-fa-base-uncased-ner-peyma,m3hrdadfi,1
HooshvareLab/bert-fa-base-uncased-ner-peyma,patrickvonplaten,2
HooshvareLab/bert-fa-base-uncased-ner-peyma,system,10
HuggingFaceH4/zephyr-7b-beta,Wauplin,3
HuggingFaceH4/zephyr-7b-beta,clefourrier,2
HuggingFaceH4/zephyr-7b-beta,edbeeching,3
HuggingFaceH4/zephyr-7b-beta,leaderboard-pr-bot,1
HuggingFaceH4/zephyr-7b-beta,lewtun,16
HuggingFaceH4/zephyr-7b-beta,lvwerra,1
HuggingFaceH4/zephyr-7b-beta,natolambert,1
HuggingFaceH4/zephyr-7b-beta,sbrandeis,1
HuggingFaceM4/siglip-so400m-14-384,HugoLaurencon,17
HuggingFaceM4/siglip-so400m-14-384,Leyo,1
IDEA-Research/grounding-dino-tiny,EduardoPacheco,10
IDEA-Research/grounding-dino-tiny,nielsr,9
InstantX/InstantID,wanghaofan,8
InstantX/InstantID,wangqixun,2
Intel/dpt-hybrid-midas,Younes Belkada,1
Intel/dpt-hybrid-midas,bconsolvo,1
Intel/dpt-hybrid-midas,coyotte508,2
Intel/dpt-hybrid-midas,nielsr,3
Intel/dpt-hybrid-midas,ybelkada,11
Isotr0py/test-gguf-sample,Isotr0py,4
JackFram/llama-68m,JackFram,13
JackFram/llama-68m,Xenova,1
Jean-Baptiste/camembert-ner-with-dates,Jean-Baptiste,5
Jean-Baptiste/camembert-ner-with-dates,SFconvertbot,1
Jean-Baptiste/camembert-ner-with-dates,jeanpoll,2
Jean-Baptiste/camembert-ner-with-dates,system,1
LTP/small,ylfeng,6
Lajavaness/bilingual-embedding-large,dangvantuan,14
Lajavaness/bilingual-embedding-large,tuan.ljn,9
LanguageBind/LanguageBind_Video_FT,LanguageBind,5
Leo97/KoELECTRA-small-v3-modu-ner,Leo97,72
Leo97/KoELECTRA-small-v3-modu-ner,SFconvertbot,1
LiheYoung/depth-anything-large-hf,LiheYoung,1
LiheYoung/depth-anything-large-hf,nielsr,7
Lykon/DreamShaper,Lykon,91
Lykon/DreamShaper,ghunkins,1
Lykon/DreamShaper,patrickvonplaten,1
Lykon/DreamShaper,valhalla,1
M-CLIP/XLM-Roberta-Large-Vit-B-32,FreddeFrallan,2
M-CLIP/XLM-Roberta-Large-Vit-B-32,Fredrik Carlsson,2
M-CLIP/XLM-Roberta-Large-Vit-B-32,Lauler,3
M-CLIP/XLM-Roberta-Large-Vit-B-32,lbourdois,1
M-CLIP/XLM-Roberta-Large-Vit-B-32,rom1504,1
MCG-NJU/videomae-large,SFconvertbot,1
MCG-NJU/videomae-large,nielsr,7
MIT/ast-finetuned-audioset-10-10-0.4593,SFconvertbot,1
MIT/ast-finetuned-audioset-10-10-0.4593,nielsr,14
MMG/xlm-roberta-large-ner-spanish,SFconvertbot,1
MMG/xlm-roberta-large-ner-spanish,jorgealro,12
MMG/xlm-roberta-large-ner-spanish,system,1
MRNH/mbart-english-grammar-corrector,MRNH,22
MRNH/mbart-english-grammar-corrector,matteo,1
MahmoudAshraf/mms-300m-1130-forced-aligner,MahmoudAshraf,15
Marqo/marqo-fashionSigLIP,DavidJung,10
Marqo/marqo-fashionSigLIP,Jesse-marqo,1
Marqo/marqo-fashionSigLIP,Tomhamer5,2
Marqo/marqo-fashionSigLIP,Xenova,1
Marqo/marqo-fashionSigLIP,elliesleightholm,3
MattyB95/AST-VoxCelebSpoof-Synthetic-Voice-Detection,MattyB95,9
Maykeye/TinyLLama-v0,GG,1
Maykeye/TinyLLama-v0,Maykeye,3
Maykeye/TinyLLama-v0,SFconvertbot,1
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF,MaziyarPanahi,5
Michau/t5-base-en-generate-headline,julien-c,1
Michau/t5-base-en-generate-headline,patrickvonplaten,2
Michau/t5-base-en-generate-headline,system,7
Minej/bert-base-personality,Minej,11
Minej/bert-base-personality,SFconvertbot,1
Moritz-Pfeifer/CentralBankRoBERTa-sentiment-classifier,Moritz-Pfeifer,54
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,MoritzLaurer,26
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,SFconvertbot,1
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,autoevaluator,5
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,eladven,1
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,librarian-bot,1
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,system,1
NbAiLab/nb-wav2vec2-300m-nynorsk,SFconvertbot,1
NbAiLab/nb-wav2vec2-300m-nynorsk,pere,13
NbAiLab/nb-wav2vec2-300m-nynorsk,perisolb,1
NbAiLab/nb-wav2vec2-300m-nynorsk,system,2
NbAiLab/nb-wav2vec2-300m-nynorsk,versae,10
NeuML/pubmedbert-base-embeddings,davidmezzetti,5
NlpHUST/ner-vietnamese-electra-base,SFconvertbot,1
NlpHUST/ner-vietnamese-electra-base,librarian-bot,1
NlpHUST/ner-vietnamese-electra-base,nhanv,9
NousResearch/Llama-2-7b-chat-hf,ArthurZ,2
NousResearch/Llama-2-7b-chat-hf,chrismarra,2
NousResearch/Llama-2-7b-chat-hf,emozilla,1
NousResearch/Llama-2-7b-chat-hf,fxmarty,1
NousResearch/Llama-2-7b-chat-hf,osanseviero,1
NousResearch/Llama-2-7b-chat-hf,teknium,1
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,andreaskoepf,11
OpenGVLab/InternVL2-8B,Weiyun1025,15
OpenGVLab/InternVL2-8B,cuierfei,4
OpenGVLab/InternVL2-8B,czczup,59
OpenGVLab/InternVL2-8B,kingsley01,1
OpenGVLab/InternVL2-8B,kosung,1
OpenGVLab/InternVL2-8B,marko1616,1
OpenGVLab/InternVL2-8B,merve,1
OpenGVLab/InternVL2-8B,qishisuren,1
OpenGVLab/InternVL2-8B,wxsm,1
Orenguteng/Llama-3-8B-Lexi-Uncensored,Orenguteng,7
Orenguteng/Llama-3-8B-Lexi-Uncensored,leaderboard-pr-bot,1
ProsusAI/finbert,Ubuntu,1
ProsusAI/finbert,Zulkuf,4
ProsusAI/finbert,doguaraci,10
ProsusAI/finbert,joaogante,1
ProsusAI/finbert,patrickvonplaten,2
ProsusAI/finbert,system,1
ProsusAI/finbert,theofpa,2
Qdrant/all-MiniLM-L6-v2-onnx,Anush008,1
Qdrant/all-MiniLM-L6-v2-onnx,generall93,2
Qdrant/all-MiniLM-L6-v2-onnx,jmzzomg,1
Qdrant/all-MiniLM-L6-v2-onnx,nirantk,7
Qwen/Qwen2.5-1.5B-Instruct,JustinLin610,2
Qwen/Qwen2.5-1.5B-Instruct,clonefy,3
Qwen/Qwen2.5-1.5B-Instruct,feihu.hf,1
Qwen/Qwen2.5-1.5B-Instruct,jklj077,2
Qwen/Qwen2.5-1.5B-Instruct,xianbao,1
RishuD7/CML_Text_date_number_blank_v1,RishuD7,11
Rostlab/prot_bert,julien-c,2
Rostlab/prot_bert,mheinz,1
Rostlab/prot_bert,system,8
RunDiffusion/Juggernaut-XL-v9,PseudoTerminal X,2
RunDiffusion/Juggernaut-XL-v9,RunDiffusion,24
RunDiffusion/Juggernaut-XL-v9,multimodalart,1
RunDiffusion/Juggernaut-XL-v9,patrickvonplaten,1
SG161222/RealVisXL_V4.0,SG161222,7
SWivid/F5-TTS,Lyte,1
SWivid/F5-TTS,SWivid,17
SWivid/F5-TTS,nielsr,1
SWivid/F5-TTS,zkniu,1
Salesforce/blip-image-captioning-large,Rocketknight1,1
Salesforce/blip-image-captioning-large,SFconvertbot,1
Salesforce/blip-image-captioning-large,Younes Belkada,1
Salesforce/blip-image-captioning-large,dacquaviva,1
Salesforce/blip-image-captioning-large,ybelkada,15
SamLowe/roberta-base-go_emotions,SFconvertbot,1
SamLowe/roberta-base-go_emotions,SamLowe,15
SanctumAI/Meta-Llama-3.1-8B-Instruct-GGUF,AndreyBest,5
SanctumAI/Meta-Llama-3.1-8B-Instruct-GGUF,cfahlgren1,1
SenswiseData/bert_cased_ner,SenswiseData,2
Shakker-Labs/FLUX.1-dev-LoRA-AntiBlur,wanghaofan,7
Snowflake/snowflake-arctic-embed-m,Xenova,3
Snowflake/snowflake-arctic-embed-m,lukemerrick,2
Snowflake/snowflake-arctic-embed-m,michaelfeil,1
Snowflake/snowflake-arctic-embed-m,spacemanidol,30
Snowflake/snowflake-arctic-embed-m,tomaarsen,1
Snowflake/snowflake-arctic-embed-m,williambarberjr,1
Snowflake/snowflake-arctic-embed-m,xdm222,3
SpanBERT/spanbert-large-cased,patrickvonplaten,3
SpanBERT/spanbert-large-cased,system,5
Sudanl/stable-diffusion-2-1-base-custom,Sudanl,2
Supabase/gte-small,RobSteele,1
Supabase/gte-small,Xenova,1
Supabase/gte-small,ggrn,8
Systran/faster-whisper-large-v3,ngkien,1
Systran/faster-whisper-large-v3,nguyendc,1
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,Philip May,8
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,PhilipMay,8
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,SFconvertbot,1
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,joaogante,1
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,julien-c,1
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,lbourdois,1
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,patrickvonplaten,1
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,system,7
THUDM/chatglm2-6b,Sengxian,3
THUDM/chatglm2-6b,ShiJueXiaofei,1
THUDM/chatglm2-6b,duzx16,34
THUDM/chatglm2-6b,osanseviero,1
THUDM/chatglm2-6b,youwei,2
THUDM/chatglm2-6b,yuxiaod,1
THUDM/chatglm2-6b,zxdu20,15
TahaDouaji/detr-doc-table-detection,SFconvertbot,1
TahaDouaji/detr-doc-table-detection,TahaDouaji,26
TahaDouaji/detr-doc-table-detection,nielsr,2
TaylorAI/bge-micro-v2,SFconvertbot,1
TaylorAI/bge-micro-v2,andersonbcdefg,30
Team-ACE/ToolACE-8B,ACE-Org,8
Team-ACE/ToolACE-8B,AngusHuang,7
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,TheBloke,4
TinyLlama/TinyLlama-1.1B-Chat-v1.0,PY007,16
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Sirclavin,1
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Wauplin,1
TinyLlama/TinyLlama-1.1B-Chat-v1.0,mrfakename,1
Tochka-AI/ruRoPEBert-e5-base-2k,Tochka-AI,7
UFNLP/gatortron-base,ChengPenguf,2
UFNLP/gatortron-base,avinashr175,1
UFNLP/gatortron-base,yonghuiwu,50
VAGOsolutions/Llama-3.1-SauerkrautLM-8b-Instruct,DavidGF,4
WhereIsAI/UAE-Large-V1,SeanLee97,46
WhereIsAI/UAE-Large-V1,Xenova,3
WhereIsAI/UAE-Large-V1,michaelfeil,1
WhereIsAI/UAE-Large-V1,tomaarsen,3
WinKawaks/vit-tiny-patch16-224,WinKawaks,8
WinKawaks/vit-tiny-patch16-224,system,2
XLabs-AI/flux-RealismLora,AndreyML,1
XLabs-AI/flux-RealismLora,anghellia,9
XLabs-AI/flux-RealismLora,asyotr,2
XLabs-AI/flux-RealismLora,gradient-diffusion,5
XLabs-AI/flux-RealismLora,multimodalart,2
XLabs-AI/flux-RealismLora,skybirdsports,1
Xenova/bge-base-en-v1.5,Xenova,8
Yehor/w2v-xls-r-uk,SFconvertbot,1
Yehor/w2v-xls-r-uk,Yehor,28
Yehor/w2v-xls-r-uk,Yehor Smoliakov,2
YituTech/conv-bert-base,abhishek,6
YituTech/conv-bert-base,system,1
YxZhang/evf-sam2-multitask,SFconvertbot,1
YxZhang/evf-sam2-multitask,YxZhang,4
ZhengPeng7/BiRefNet,Wauplin,1
ZhengPeng7/BiRefNet,ZhengPeng7,63
ZhengPeng7/BiRefNet,not-lain,3
ZhengPeng7/BiRefNet,osanseviero,1
adrianjoheni/translation-model-opus,adrianjoheni,6
adsabs/astroBERT,SFconvertbot,1
adsabs/astroBERT,fgrezes,25
adsabs/astroBERT,jcrpaquin-cfa,1
aglazkova/bart_finetuned_keyphrase_extraction,aglazkova,6
aglazkova/bart_finetuned_keyphrase_extraction,kdvisdjf rkeogkw,18
ai-forever/sbert_large_nlu_ru,Ibragim,3
ai-forever/sbert_large_nlu_ru,ai-forever,8
ai-forever/sbert_large_nlu_ru,patrickvonplaten,2
ai-forever/sbert_large_nlu_ru,sberbank-ai,4
ai-forever/sbert_large_nlu_ru,system,1
ai4bharat/indic-bert,anoopk,1
ai4bharat/indic-bert,divkakwani,2
ai4bharat/indic-bert,julien-c,1
ai4bharat/indic-bert,lbourdois,1
ai4bharat/indic-bert,system,8
ailegends/xlsr-jonatasgrosman-wav2vec2-large-xlsr-53-english,ailegends,3
albert/albert-base-v2,Narsil,1
albert/albert-base-v2,guillaume-be,1
albert/albert-base-v2,julien-c,1
albert/albert-base-v2,lysandre,3
albert/albert-base-v2,osanseviero,1
albert/albert-base-v2,patrickvonplaten,2
albert/albert-base-v2,pranshupant,1
albert/albert-base-v2,sgugger,2
albert/albert-base-v2,system,12
albert/albert-base-v2,tony9402,1
alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,SFconvertbot,1
alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,Salman11223,1
alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,alefiury,12
alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,librarian-bot,1
ali-vilab/In-Context-LoRA,lhhuang,14
allenai/longformer-base-4096,beltagy,1
allenai/longformer-base-4096,dirkgr,1
allenai/longformer-base-4096,florentgbelidji,1
allenai/longformer-base-4096,guillaume-be,1
allenai/longformer-base-4096,julien-c,1
allenai/longformer-base-4096,lbourdois,1
allenai/longformer-base-4096,sgugger,1
allenai/longformer-base-4096,system,5
allenai/longformer-base-4096,thomwolf,1
almanach/camembert-base,Ezi,1
almanach/camembert-base,SFconvertbot,1
almanach/camembert-base,julien-c,4
almanach/camembert-base,lysandre,2
almanach/camembert-base,rohitdavas,3
almanach/camembert-base,sgugger,7
almanach/camembert-base,system,9
almanach/camembert-base,wissamantoun,1
amazon/chronos-t5-small,SFconvertbot,1
amazon/chronos-t5-small,abdulfatir,3
amazon/chronos-t5-small,lostella,2
amazon/chronos-t5-small,osanseviero,1
amunchet/rorshark-vit-base,amunchet,5
answerdotai/answerai-colbert-small-v1,Xenova,1
answerdotai/answerai-colbert-small-v1,bclavie,29
answerdotai/answerai-colbert-small-v1,nbroad,1
answerdotai/answerai-colbert-small-v1,tomaarsen,1
anton-l/wav2vec2-random-tiny-classifier,speech-test,1
anton-l/wav2vec2-random-tiny-classifier,system,1
apple/OpenELM-1_1B-Instruct,qicao-apple,4
argmaxinc/whisperkit-coreml,ZachNagengast,5
argmaxinc/whisperkit-coreml,aotrih,119
argmaxinc/whisperkit-coreml,arda-argmax,20
argmaxinc/whisperkit-coreml,ardaibis,2
argmaxinc/whisperkit-coreml,b-argmax,3
argmaxinc/whisperkit-coreml,bpkeene,5
argmaxinc/whisperkit-coreml,takeargmax,1
artificialguybr/ColoringBookRedmond-V2,artificialguybr,4
ashawkey/mvdream-sd2.1-diffusers,ashawkey,6
aspire/acge_text_embedding,SFconvertbot,1
aspire/acge_text_embedding,aspire,16
aubmindlab/bert-base-arabertv02,AUB MIND LAB,3
aubmindlab/bert-base-arabertv02,SFconvertbot,1
aubmindlab/bert-base-arabertv02,aubmindlab,1
aubmindlab/bert-base-arabertv02,patrickvonplaten,2
aubmindlab/bert-base-arabertv02,system,1
aubmindlab/bert-base-arabertv02,wissamantoun,6
audeering/wav2vec2-large-robust-24-ft-age-gender,SFconvertbot,2
audeering/wav2vec2-large-robust-24-ft-age-gender,bzikst,1
audeering/wav2vec2-large-robust-24-ft-age-gender,frankenjoe,15
audeering/wav2vec2-large-robust-24-ft-age-gender,hagenw,1
autogluon/chronos-t5-tiny,SFconvertbot,1
autogluon/chronos-t5-tiny,abdulfatir,2
autogluon/chronos-t5-tiny,lostella,2
autogluon/chronos-t5-tiny,osanseviero,1
avsolatorio/GIST-small-Embedding-v0,avsolatorio,6
